source_file,llm,n_statements,n_true,truth_rate,n_questions,truth_rate_percent
<<<<<<< HEAD
judgments_full_annotations_kasia.csv,llama,458,422,0.9213973799126638,48,92.13973799126637
judgments_full_annotations_kasia.csv,qwen,435,373,0.8574712643678161,48,85.74712643678161
judgments_madi_annotations.csv,llama,321,304,0.9470404984423676,100,94.70404984423676
judgments_madi_annotations.csv,qwen,315,255,0.8095238095238095,100,80.95238095238095
=======
judgments_93_MekholaDoha_s4790650_annotations.csv,llama,761,666,0.8751642575558476,93,87.51642575558476
judgments_93_MekholaDoha_s4790650_annotations.csv,qwen,693,564,0.8138528138528138,93,81.38528138528139
judgments_annotations_s4723708_Katarzyna.csv,llama,458,422,0.9213973799126638,48,92.13973799126637
judgments_annotations_s4723708_Katarzyna.csv,qwen,435,373,0.8574712643678161,48,85.74712643678161
judgments_annotations_s6388434_Baran.csv,llama,333,292,0.8768768768768769,50,87.68768768768768
judgments_annotations_s6388434_Baran.csv,qwen,316,255,0.8069620253164557,50,80.69620253164557
>>>>>>> f1f555a2501892083ed12b2e7dc4e604b3576621
